Threads,Monolith Throughput,Error percent,Monolith Response Time,Monolithic Avg CPU in percent,Monolithic Avg CPU in cores,Monolith Max CPU Used,Monolithic Max CPU in cores,Cloud-native Throughput,Error (%),Cloud-native Response Time (ms),Cloud-native Avg in percent,Cloud-native Avg CPU in core,Cloud-native Max CPU Used,Cloud-native Max CPU in core
1,36.49,0,68,4.14,0.0828,12.26,0.2452,59.9,0.1,18,5.3756,0.430048,7.51,0.6008
2,69,0,69,8.2194,0.164388,16.97,0.3394,123.78,0.04,18,6.06,0.4848,9.92,0.7936
4,149.42,0,57,10.663,0.21326,29.11,0.5822,251.02,0.05,18,9.23567,0.7388536,14.78,1.1824
8,290.41,0,64,28.8575,0.57715,65.23,1.3046,453.93,0.12,18,14.4369,1.154952,30.4,2.432
12,360.69,0,62,32.2537,0.645074,75.36,1.5072,623.17,0.15,19,18.6622,1.492976,36.53,2.9224
16,380.35,0,68,27.385,0.5477,98.98,1.9796,631.15,0.27,20,13.2846,1.062768,41.05,3.284
20,379.49,0,85,26.92,0.5384,75.22,1.5044,864.21,0.8,24,16.29,1.3032,45.78,3.6624
